Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
QUEENS,NY,"20,744.00","19,894.00",850.00,"1,800.00","1,800.00",0.00
NASSAU,NY,"1,311,452.00","1,120,423.00","191,029.00","593,800.00","499,900.00","93,900.00"
WESTCHESTER,NY,"9,532.00","7,032.00","2,500.00","9,600.00","7,100.00","2,500.00"
SUFFOLK,NY,"51,094.00","44,069.00","7,025.00","14,500.00","8,500.00","6,000.00"
SUFFOLK,NY,"32,076.00","26,576.00","5,500.00",0.00,0.00,0.00
QUEENS,NY,"101,078.00","63,518.00","37,560.00","49,100.00","11,600.00","37,500.00"
QUEENS,NY,500.00,0.00,500.00,0.00,0.00,0.00
QUEENS,NY,"60,803.00","47,793.00","13,010.00","39,200.00","34,000.00","5,200.00"
QUEENS,NY,"25,920.00","16,320.00","9,600.00",0.00,0.00,0.00
QUEENS,NY,"32,200.00",0.00,"32,200.00",0.00,0.00,0.00
NASSAU,NY,"29,700.00",0.00,"29,700.00",0.00,0.00,0.00
NASSAU,NY,"18,075.00",0.00,"18,075.00",0.00,0.00,0.00
NEW YORK,NY,"274,315.00","183,515.00","90,800.00","109,200.00","72,200.00","37,000.00"
QUEENS,NY,"47,195,829.00","29,554,002.00","17,641,827.00","17,354,600.00","9,923,900.00","7,430,700.00"
NEW YORK,NY,"4,903.00","4,203.00",700.00,0.00,0.00,0.00
QUEENS,NY,"1,036,653.00","417,206.00","619,447.00","179,700.00","14,000.00","165,700.00"
QUEENS,NY,"432,492.00","210,607.00","221,885.00","35,100.00","14,400.00","20,700.00"
QUEENS,NY,"1,356,384.00","1,033,694.00","322,690.00","501,800.00","387,000.00","114,800.00"
QUEENS,NY,"90,021.00","68,121.00","21,900.00","82,100.00","60,200.00","21,900.00"
QUEENS,NY,"11,950.00",0.00,"11,950.00",0.00,0.00,0.00
QUEENS,NY,"38,500.00",0.00,"38,500.00","38,500.00",0.00,"38,500.00"
QUEENS,NY,"87,580.00","71,880.00","15,700.00",0.00,0.00,0.00
QUEENS,NY,"155,270.00","90,207.00","65,063.00","85,600.00","45,600.00","40,000.00"
QUEENS,NY,"9,380.00",0.00,"9,380.00",0.00,0.00,0.00
QUEENS,NY,"58,818.00","33,068.00","25,750.00",0.00,0.00,0.00
NASSAU,NY,"270,311.00","247,574.00","22,737.00","220,500.00","198,600.00","21,900.00"
SUFFOLK,NY,"117,541.00","110,091.00","7,450.00","28,600.00","22,500.00","6,100.00"
SUFFOLK,NY,"187,863.00","185,338.00","2,525.00","125,900.00","123,900.00","2,000.00"
NEW YORK,NY,"136,317.00","95,742.00","40,575.00",0.00,0.00,0.00
QUEENS,NY,"76,180.00","37,120.00","39,060.00","7,200.00",0.00,"7,200.00"
QUEENS,NY,"23,070.00",0.00,"23,070.00",0.00,0.00,0.00
QUEENS,NY,"45,550.00",0.00,"45,550.00",0.00,0.00,0.00
SUFFOLK,NY,"141,622.00","139,122.00","2,500.00",0.00,0.00,0.00
SUFFOLK,NY,"1,095,960.00","888,415.00","207,545.00","443,300.00","354,500.00","88,800.00"
NASSAU,NY,"421,734.00","380,614.00","41,120.00","260,400.00","235,600.00","24,800.00"
QUEENS,NY,"128,017.00","112,579.00","15,438.00","31,500.00","31,100.00",400.00
ORANGE,NY,"89,284.00","79,139.00","10,145.00","64,100.00","56,500.00","7,600.00"
QUEENS,NY,"79,846.00","57,761.00","22,085.00","61,100.00","57,200.00","3,900.00"
QUEENS,NY,"56,574.00","50,334.00","6,240.00","14,000.00","14,000.00",0.00
QUEENS,NY,"298,152.00","265,191.00","32,961.00",0.00,0.00,0.00
QUEENS,NY,"18,624.00","4,549.00","14,075.00","6,700.00","1,600.00","5,100.00"
QUEENS,NY,"3,000.00",0.00,"3,000.00","3,000.00",0.00,"3,000.00"
SUFFOLK,NY,"282,382.00","273,722.00","8,660.00","220,700.00","212,000.00","8,700.00"
QUEENS,NY,"12,145.00",0.00,"12,145.00","12,200.00",0.00,"12,200.00"
NASSAU,NY,"214,694.00","198,119.00","16,575.00","132,000.00","123,300.00","8,700.00"
NASSAU,NY,"94,767.00","72,692.00","22,075.00","14,000.00",0.00,"14,000.00"
NASSAU,NY,"106,004,976.00","75,966,761.00","30,038,215.00","39,151,200.00","25,523,000.00","13,618,200.00"
NEW YORK,NY,"492,692.00","290,467.00","202,225.00","151,900.00","89,000.00","62,900.00"
NASSAU,NY,"30,250.00",0.00,"30,250.00","30,300.00",0.00,"30,300.00"
NASSAU,NY,"129,002.00","104,272.00","24,730.00",0.00,0.00,0.00
QUEENS,NY,"94,002.00","85,477.00","8,525.00","18,800.00","10,200.00","8,600.00"
QUEENS,NY,"12,372.00","12,372.00",0.00,"9,200.00","9,200.00",0.00
NASSAU,NY,"1,117,906.00","1,069,526.00","48,380.00","717,200.00","668,700.00","48,500.00"
ULSTER,NY,"7,900.00",0.00,"7,900.00",0.00,0.00,0.00
ROCKLAND,NY,"67,996.00","48,146.00","19,850.00",0.00,0.00,0.00
PUTNAM,NY,"97,029.00","83,501.00","13,528.00","13,600.00",0.00,"13,600.00"
SUFFOLK,NY,"580,734.00","483,919.00","96,815.00","36,900.00","5,100.00","31,800.00"
NASSAU,NY,"797,977.00","655,347.00","142,630.00","370,600.00","307,500.00","63,100.00"
NASSAU,NY,"853,763.00","823,488.00","30,275.00","634,400.00","611,700.00","22,700.00"
QUEENS,NY,"32,992.00","29,142.00","3,850.00","20,800.00","20,000.00",800.00
NASSAU,NY,"39,430.00","39,430.00",0.00,0.00,0.00,0.00
WESTCHESTER,NY,"2,450.00",0.00,"2,450.00",0.00,0.00,0.00
ORANGE,NY,"52,158.00","19,740.00","32,418.00","15,000.00","15,000.00",0.00
ROCKLAND,NY,"420,203.00","374,003.00","46,200.00","240,000.00","200,000.00","40,000.00"
ROCKLAND,NY,"60,790.00","55,790.00","5,000.00","60,800.00","55,800.00","5,000.00"
ROCKLAND,NY,"362,815.00","283,115.00","79,700.00","182,600.00","160,500.00","22,100.00"
NASSAU,NY,"29,271.00","25,221.00","4,050.00","3,300.00",0.00,"3,300.00"
NASSAU,NY,"183,734.00","176,484.00","7,250.00","146,800.00","140,300.00","6,500.00"
NASSAU,NY,"427,504.00","320,904.00","106,600.00","184,100.00","144,100.00","40,000.00"
NASSAU,NY,"146,403.00","133,603.00","12,800.00","60,600.00","51,000.00","9,600.00"
SUFFOLK,NY,"274,188.00","245,153.00","29,035.00","114,800.00","94,100.00","20,700.00"
SUFFOLK,NY,"263,444.00","246,319.00","17,125.00","44,600.00","44,400.00",200.00
NASSAU,NY,"71,510.00","50,335.00","21,175.00",0.00,0.00,0.00
SUFFOLK,NY,"562,554.00","511,619.00","50,935.00","313,000.00","283,300.00","29,700.00"
ORANGE,NY,"152,519.00","140,069.00","12,450.00","64,400.00","55,800.00","8,600.00"
SUFFOLK,NY,"76,349.00","76,029.00",320.00,"25,200.00","24,900.00",300.00
QUEENS,NY,"909,325.00","594,905.00","314,420.00","252,700.00","159,300.00","93,400.00"
QUEENS,NY,"111,498.00","70,598.00","40,900.00",0.00,0.00,0.00
SUFFOLK,NY,"2,701,516.00","2,273,941.00","427,575.00","1,232,500.00","1,033,500.00","199,000.00"
SUFFOLK,NY,"144,122.00","136,922.00","7,200.00",0.00,0.00,0.00
SUFFOLK,NY,"200,535.00","200,535.00",0.00,0.00,0.00,0.00
ORANGE,NY,"22,676.00","22,676.00",0.00,0.00,0.00,0.00
WESTCHESTER,NY,"73,162.00","60,312.00","12,850.00",0.00,0.00,0.00
WESTCHESTER,NY,"464,298.00","417,598.00","46,700.00","225,400.00","183,300.00","42,100.00"
WESTCHESTER,NY,"246,103.00","211,501.00","34,602.00","134,000.00","113,800.00","20,200.00"
WESTCHESTER,NY,"153,308.00","141,158.00","12,150.00",800.00,0.00,800.00
SUFFOLK,NY,"519,798.00","486,498.00","33,300.00","78,600.00","75,600.00","3,000.00"
ROCKLAND,NY,"143,645.00","31,270.00","112,375.00","78,400.00","30,800.00","47,600.00"
WESTCHESTER,NY,"20,556.00","20,556.00",0.00,"14,900.00","14,900.00",0.00
NASSAU,NY,"1,229,944.00","1,088,234.00","141,710.00","223,800.00","187,600.00","36,200.00"
NASSAU,NY,"4,188,076.00","3,452,461.00","735,615.00","1,410,100.00","1,175,800.00","234,300.00"
NASSAU,NY,"672,941.00","564,351.00","108,590.00","175,000.00","135,000.00","40,000.00"
NASSAU,NY,"897,103.00","856,773.00","40,330.00","376,800.00","344,000.00","32,800.00"
ORANGE,NY,"13,631.00","13,631.00",0.00,0.00,0.00,0.00
ORANGE,NY,"32,397.00","30,097.00","2,300.00","27,100.00","26,800.00",300.00
SUFFOLK,NY,"159,572.00","158,572.00","1,000.00","66,300.00","65,300.00","1,000.00"
QUEENS,NY,"347,063.00","288,411.00","58,652.00","97,900.00","74,700.00","23,200.00"
QUEENS,NY,"24,255.00","24,255.00",0.00,"21,200.00","21,200.00",0.00
SUFFOLK,NY,"82,815.00","73,995.00","8,820.00","49,700.00","49,700.00",0.00
QUEENS,NY,"139,582.00","99,282.00","40,300.00","99,000.00","66,200.00","32,800.00"
QUEENS,NY,"36,425.00",0.00,"36,425.00",0.00,0.00,0.00
QUEENS,NY,"350,758.00","231,248.00","119,510.00",0.00,0.00,0.00
NASSAU,NY,"40,700.00",0.00,"40,700.00","40,000.00",0.00,"40,000.00"
NEW YORK,NY,"316,247.00","160,422.00","155,825.00","25,600.00","10,000.00","15,600.00"
QUEENS,NY,"120,235,873.00","73,528,957.00","46,706,916.00","51,514,300.00","32,336,060.02","18,978,239.98"
QUEENS,NY,"151,400.00","121,575.00","29,825.00",0.00,0.00,0.00
QUEENS,NY,"51,430.00",0.00,"51,430.00","40,000.00",0.00,"40,000.00"
QUEENS,NY,"26,742.00","24,742.00","2,000.00",0.00,0.00,0.00
QUEENS,NY,"98,332.00","78,132.00","20,200.00","92,900.00","73,200.00","19,700.00"
QUEENS,NY,"7,250.00",0.00,"7,250.00",0.00,0.00,0.00
QUEENS,NY,"18,800.00",0.00,"18,800.00","18,800.00",0.00,"18,800.00"
SUFFOLK,NY,"1,922,989.00","1,780,027.00","142,962.00","946,000.00","833,400.00","112,600.00"
SUFFOLK,NY,"116,105.00","94,105.00","22,000.00","52,100.00","31,200.00","20,900.00"
SUFFOLK,NY,"278,445.00","248,225.00","30,220.00","123,900.00","122,800.00","1,100.00"
SUFFOLK,NY,"611,045.00","523,235.00","87,810.00","124,300.00","109,100.00","15,200.00"
SUFFOLK,NY,250.00,0.00,250.00,0.00,0.00,0.00
SULLIVAN,NY,"38,933.00","38,933.00",0.00,0.00,0.00,0.00
NASSAU,NY,"7,280,629.00","4,786,389.00","2,494,240.00","3,225,200.00","1,973,000.00","1,252,200.00"
QUEENS,NY,"20,000.00",0.00,"20,000.00","20,000.00",0.00,"20,000.00"
NASSAU,NY,"143,946.00","83,516.00","60,430.00",0.00,0.00,0.00
NASSAU,NY,"61,999.00","31,874.00","30,125.00",0.00,0.00,0.00
NASSAU,NY,"162,319.00","125,419.00","36,900.00",0.00,0.00,0.00
NASSAU,NY,"13,950.00",0.00,"13,950.00","14,000.00",0.00,"14,000.00"
NASSAU,NY,"22,200.00",0.00,"22,200.00","22,200.00",0.00,"22,200.00"
NASSAU,NY,"121,233.00","88,938.00","32,295.00",0.00,0.00,0.00
KINGS,NY,"171,323.00","124,423.00","46,900.00",0.00,0.00,0.00
NASSAU,NY,"108,251,451.00","70,250,039.00","38,001,412.00","42,397,000.00","27,502,700.00","14,777,900.00"
NASSAU,NY,"6,500.00",0.00,"6,500.00","6,500.00",0.00,"6,500.00"
NASSAU,NY,"6,300.00",0.00,"6,300.00",0.00,0.00,0.00
NASSAU,NY,"15,850.00",0.00,"15,850.00",0.00,0.00,0.00
NASSAU,NY,"23,900.00",0.00,"23,900.00","23,900.00",0.00,"23,900.00"
NASSAU,NY,"24,275.00",0.00,"24,275.00","24,300.00",0.00,"24,300.00"
NASSAU,NY,"192,598.00","102,548.00","90,050.00",0.00,0.00,0.00
NASSAU,NY,"93,528.00","75,108.00","18,420.00",0.00,0.00,0.00
NASSAU,NY,"54,900.00",0.00,"54,900.00",0.00,0.00,0.00
NASSAU,NY,"185,178.00","99,603.00","85,575.00",0.00,0.00,0.00
SUFFOLK,NY,"3,562,249.00","2,775,287.00","786,962.00","1,883,900.00","1,448,600.00","435,300.00"
SULLIVAN,NY,"73,097.00","57,162.00","15,935.00","23,200.00","21,300.00","1,900.00"
SUFFOLK,NY,"120,109.00","105,109.00","15,000.00","60,900.00","60,900.00",0.00
QUEENS,NY,"3,250.00",0.00,"3,250.00",0.00,0.00,0.00
QUEENS,NY,"12,100.00",0.00,"12,100.00","12,100.00",0.00,"12,100.00"
QUEENS,NY,"45,814.00","39,414.00","6,400.00","38,400.00","32,000.00","6,400.00"
QUEENS,NY,"543,774.00","322,904.00","220,870.00","318,400.00","178,400.00","140,000.00"
QUEENS,NY,"160,143.00","98,898.00","61,245.00","97,500.00","65,300.00","32,200.00"
QUEENS,NY,"14,150.00","13,850.00",300.00,0.00,0.00,0.00
QUEENS,NY,"373,601.00","333,814.00","39,787.00","142,500.00","130,100.00","12,400.00"
QUEENS,NY,"170,385.00","133,904.00","36,481.00","67,200.00","40,300.00","26,900.00"
QUEENS,NY,"411,633.00","324,488.00","87,145.00","120,800.00","111,000.00","9,800.00"
QUEENS,NY,"248,954.00","221,229.00","27,725.00","8,600.00","8,600.00",0.00
QUEENS,NY,"275,134.00","218,254.00","56,880.00","87,100.00","46,400.00","40,700.00"
SUFFOLK,NY,"167,269.00","140,506.00","26,763.00","117,100.00","94,800.00","22,300.00"
SULLIVAN,NY,"71,584.00","70,359.00","1,225.00","31,800.00","31,500.00",300.00
NASSAU,NY,"101,648.00","95,448.00","6,200.00","44,200.00","43,900.00",300.00
NEW YORK,NY,"7,390.00","3,190.00","4,200.00",0.00,0.00,0.00
QUEENS,NY,"1,640.00",0.00,"1,640.00","1,200.00",0.00,"1,200.00"
SUFFOLK,NY,"86,487.00","77,537.00","8,950.00","8,800.00","7,400.00","1,400.00"
ULSTER,NY,"275,362.00","239,212.00","36,150.00","48,400.00","41,900.00","6,500.00"
SUFFOLK,NY,"589,326.00","437,931.00","151,395.00","40,500.00","27,100.00","13,400.00"
SUFFOLK,NY,"41,075.00","32,575.00","8,500.00",0.00,0.00,0.00
SUFFOLK,NY,"33,943.00","30,943.00","3,000.00","16,100.00","16,100.00",0.00
SUFFOLK,NY,"39,910.00","39,410.00",500.00,0.00,0.00,0.00
PUTNAM,NY,"54,375.00","43,925.00","10,450.00","29,000.00","22,000.00","7,000.00"
SUFFOLK,NY,"81,202.00","73,152.00","8,050.00","27,400.00","27,400.00",0.00
WESTCHESTER,NY,"854,112.00","756,742.00","97,370.00","245,900.00","189,600.00","56,300.00"
NASSAU,NY,"230,063.00","187,963.00","42,100.00",0.00,0.00,0.00
SUFFOLK,NY,"644,919.00","631,644.00","13,275.00","549,300.00","541,200.00","8,100.00"
QUEENS,NY,"280,179.00","221,824.00","58,355.00","144,600.00","101,200.00","43,400.00"
NASSAU,NY,"260,843.00","224,583.00","36,260.00",0.00,0.00,0.00
NASSAU,NY,"17,781,910.00","12,276,921.00","5,504,989.00","6,797,600.00","4,844,800.00","1,952,800.00"
QUEENS,NY,"7,175.00",0.00,"7,175.00","7,200.00",0.00,"7,200.00"
NASSAU,NY,"143,588.00","116,748.00","26,840.00","125,100.00","101,300.00","23,800.00"
NASSAU,NY,"549,964.00","480,569.00","69,395.00","176,000.00","162,800.00","13,200.00"
SULLIVAN,NY,"18,654.00","18,654.00",0.00,0.00,0.00,0.00
SUFFOLK,NY,"142,171.00","122,771.00","19,400.00",0.00,0.00,0.00
NASSAU,NY,"206,955.00","99,460.00","107,495.00","107,200.00","81,800.00","25,400.00"
NASSAU,NY,"107,655.00","73,075.00","34,580.00",0.00,0.00,0.00
NASSAU,NY,"20,249,822.00","13,974,591.00","6,275,231.00","6,716,400.00","4,794,500.00","1,921,900.00"
NASSAU,NY,"49,089.00","45,414.00","3,675.00",0.00,0.00,0.00
NASSAU,NY,"38,688.00","38,688.00",0.00,"38,700.00","38,700.00",0.00
SUFFOLK,NY,"153,322.00","113,997.00","39,325.00",0.00,0.00,0.00
SUFFOLK,NY,"37,515.00",0.00,"37,515.00",0.00,0.00,0.00
SUFFOLK,NY,"419,099.00","339,649.00","79,450.00",0.00,0.00,0.00
SUFFOLK,NY,"75,483.00","75,483.00",0.00,0.00,0.00,0.00
SUFFOLK,NY,"8,125.00",0.00,"8,125.00","8,200.00",0.00,"8,200.00"
SUFFOLK,NY,"101,600.00","83,650.00","17,950.00","18,000.00",0.00,"18,000.00"
NASSAU,NY,"80,028.00","63,568.00","16,460.00","61,000.00","44,500.00","16,500.00"
SUFFOLK,NY,"102,648,540.00","74,139,891.00","28,508,649.00","45,810,100.00","31,141,775.00","14,654,925.00"
SUFFOLK,NY,"184,672.00","149,242.00","35,430.00",0.00,0.00,0.00
SUFFOLK,NY,"10,500.00",0.00,"10,500.00","10,500.00",0.00,"10,500.00"
SUFFOLK,NY,"160,747.00","104,797.00","55,950.00",0.00,0.00,0.00
SUFFOLK,NY,"39,314.00","26,464.00","12,850.00","22,700.00","11,500.00","11,200.00"
SUFFOLK,NY,"157,749.00","119,129.00","38,620.00","73,900.00","36,300.00","37,600.00"
QUEENS,NY,"114,546.00","103,866.00","10,680.00","69,000.00","58,300.00","10,700.00"
QUEENS,NY,"122,049.00","39,324.00","82,725.00","49,100.00","13,800.00","35,300.00"
SULLIVAN,NY,"72,493.00","71,343.00","1,150.00","68,600.00","67,900.00",700.00
SUFFOLK,NY,"190,970.00","171,970.00","19,000.00","60,400.00","60,400.00",0.00
NASSAU,NY,"375,152.00","344,042.00","31,110.00","123,900.00","121,500.00","2,400.00"
NASSAU,NY,"5,875.00",0.00,"5,875.00",0.00,0.00,0.00
NASSAU,NY,"55,176.00","10,676.00","44,500.00","31,700.00","10,700.00","21,000.00"
SUFFOLK,NY,"114,588.00","95,488.00","19,100.00","114,600.00","95,500.00","19,100.00"
NASSAU,NY,"202,914.00","129,917.00","72,997.00","72,400.00","49,000.00","23,400.00"
NASSAU,NY,"81,085.00","74,535.00","6,550.00","81,100.00","74,600.00","6,500.00"
NASSAU,NY,"125,265.00","41,325.00","83,940.00","75,800.00","40,200.00","35,600.00"
NASSAU,NY,"82,183.00","51,983.00","30,200.00",0.00,0.00,0.00
NASSAU,NY,"3,275.00",0.00,"3,275.00",0.00,0.00,0.00
NASSAU,NY,"238,122,115.00","148,058,737.00","90,063,378.00","103,284,700.00","63,695,950.00","39,588,750.00"
NEW YORK,NY,"955,860.00","461,655.00","494,205.00","165,300.00","36,300.00","129,000.00"
SUFFOLK,NY,"70,591.00","44,191.00","26,400.00",0.00,0.00,0.00
NASSAU,NY,"98,624.00","70,161.00","28,463.00",0.00,0.00,0.00
NASSAU,NY,"35,900.00",0.00,"35,900.00",0.00,0.00,0.00
NASSAU,NY,"136,219.00","76,869.00","59,350.00",0.00,0.00,0.00
NASSAU,NY,"15,900.00",0.00,"15,900.00",0.00,0.00,0.00
NASSAU,NY,"28,700.00",0.00,"28,700.00",0.00,0.00,0.00
NASSAU,NY,"15,005.00",0.00,"15,005.00","15,100.00",0.00,"15,100.00"
NASSAU,NY,"117,632.00","80,532.00","37,100.00",0.00,0.00,0.00
QUEENS,NY,"455,020.00","46,157.00","408,863.00","167,500.00","8,400.00","159,100.00"
QUEENS,NY,"5,514.00",0.00,"5,514.00",0.00,0.00,0.00
QUEENS,NY,"13,150.00",0.00,"13,150.00","12,800.00",0.00,"12,800.00"
QUEENS,NY,"10,000.00",0.00,"10,000.00","10,000.00",0.00,"10,000.00"
NASSAU,NY,"621,193.00","404,208.00","216,985.00","276,700.00","215,900.00","60,800.00"
NASSAU,NY,"523,458.00","445,323.00","78,135.00","151,800.00","130,300.00","21,500.00"
PUTNAM,NY,"170,732.00","162,632.00","8,100.00",100.00,0.00,100.00
NASSAU,NY,"160,112.00","121,582.00","38,530.00","36,100.00","33,600.00","2,500.00"
WESTCHESTER,NY,"642,371.00","554,221.00","88,150.00","229,600.00","176,400.00","53,200.00"
NASSAU,NY,"576,811.00","505,161.00","71,650.00","316,000.00","273,100.00","42,900.00"
NEW YORK,NY,"14,887.00",0.00,"14,887.00",0.00,0.00,0.00
NEW YORK,NY,"9,325.00",0.00,"9,325.00","9,400.00",0.00,"9,400.00"
NEW YORK,NY,"5,425.00",0.00,"5,425.00",0.00,0.00,0.00
NEW YORK,NY,"3,000.00",0.00,"3,000.00",0.00,0.00,0.00
SUFFOLK,NY,"118,627.00","106,177.00","12,450.00","99,800.00","95,300.00","4,500.00"
QUEENS,NY,"34,386.00","30,786.00","3,600.00",0.00,0.00,0.00
NASSAU,NY,"192,087.00","110,302.00","81,785.00",0.00,0.00,0.00
NASSAU,NY,"122,455.00","87,400.00","35,055.00",0.00,0.00,0.00
NASSAU,NY,"215,371,642.00","157,717,782.00","57,653,860.00","97,667,800.00","70,177,200.00","27,490,600.00"
NEW YORK,NY,"24,719.00","15,979.00","8,740.00","14,000.00","7,700.00","6,300.00"
NASSAU,NY,"5,952.00","5,452.00",500.00,0.00,0.00,0.00
NASSAU,NY,"3,252,941.00","2,654,871.00","598,070.00","1,652,300.00","1,377,500.00","274,800.00"
NASSAU,NY,"123,383.00","103,883.00","19,500.00","60,900.00","54,000.00","6,900.00"
NASSAU,NY,"230,432.00","100,532.00","129,900.00","95,100.00","69,200.00","25,900.00"
NASSAU,NY,"108,181.00","90,381.00","17,800.00","25,900.00","8,600.00","17,300.00"
NASSAU,NY,"581,708.00","482,483.00","99,225.00","31,500.00",0.00,"31,500.00"
SUFFOLK,NY,"85,247.00","62,347.00","22,900.00","80,400.00","57,500.00","22,900.00"
SUFFOLK,NY,"253,633.00","221,975.00","31,658.00","46,800.00","32,800.00","14,000.00"
NASSAU,NY,"51,134.00","48,134.00","3,000.00",0.00,0.00,0.00
SUFFOLK,NY,"11,261,068.00","8,540,095.00","2,720,973.00","4,892,000.00","3,508,000.00","1,384,000.00"
SUFFOLK,NY,"136,409.00","119,029.00","17,380.00","108,300.00","91,600.00","16,700.00"
SUFFOLK,NY,"109,499.00","108,999.00",500.00,"38,900.00","38,400.00",500.00
SUFFOLK,NY,"768,140.00","723,923.00","44,217.00","140,200.00","138,300.00","1,900.00"
NASSAU,NY,"40,317.00","22,047.00","18,270.00",0.00,0.00,0.00
NASSAU,NY,"48,408,452.00","34,721,165.00","13,687,287.00","20,549,100.00","14,995,200.00","5,553,900.00"
NEW YORK,NY,"187,391.00","158,991.00","28,400.00","73,300.00","50,100.00","23,200.00"
SUFFOLK,NY,"173,740.00","77,340.00","96,400.00",0.00,0.00,0.00
SUFFOLK,NY,"13,837.00","12,717.00","1,120.00",0.00,0.00,0.00
SUFFOLK,NY,"19,858.00","18,983.00",875.00,"19,900.00","19,000.00",900.00
QUEENS,NY,"63,540.00","48,990.00","14,550.00","14,000.00","14,000.00",0.00
ORANGE,NY,"234,854.00","210,739.00","24,115.00","78,600.00","71,600.00","7,000.00"
ORANGE,NY,"18,327.00","18,327.00",0.00,"17,500.00","17,500.00",0.00
SUFFOLK,NY,"338,548.00","336,173.00","2,375.00","298,400.00","297,400.00","1,000.00"
NASSAU,NY,"258,734.00","224,359.00","34,375.00","24,600.00","24,000.00",600.00
NASSAU,NY,"56,701.00","56,701.00",0.00,0.00,0.00,0.00
WESTCHESTER,NY,"3,500.00",0.00,"3,500.00","2,500.00",0.00,"2,500.00"
ORANGE,NY,"174,293.00","152,993.00","21,300.00","64,600.00","59,700.00","4,900.00"
ROCKLAND,NY,"248,376.00","74,026.00","174,350.00","73,100.00","2,900.00","70,200.00"
SUFFOLK,NY,"21,114.00","17,014.00","4,100.00",0.00,0.00,0.00
SULLIVAN,NY,"146,914.00","143,514.00","3,400.00",0.00,0.00,0.00
SUFFOLK,NY,"337,750.00","291,430.00","46,320.00","114,500.00","92,300.00","22,200.00"
WESTCHESTER,NY,"38,786.00","37,786.00","1,000.00","38,900.00","37,900.00","1,000.00"
SUFFOLK,NY,"109,714.00","94,949.00","14,765.00","63,300.00","60,500.00","2,800.00"
WESTCHESTER,NY,"83,418.00","81,918.00","1,500.00","21,100.00","20,600.00",500.00
WESTCHESTER,NY,"162,230.00","154,050.00","8,180.00","150,200.00","145,000.00","5,200.00"
WESTCHESTER,NY,"16,964.00","16,964.00",0.00,0.00,0.00,0.00
SULLIVAN,NY,"18,586.00","18,236.00",350.00,0.00,0.00,0.00
NASSAU,NY,"8,007.00","8,007.00",0.00,"6,100.00","6,100.00",0.00
NASSAU,NY,"107,915.00","105,315.00","2,600.00","88,900.00","86,800.00","2,100.00"
NASSAU,NY,"238,032.00","179,007.00","59,025.00","60,000.00","37,100.00","22,900.00"
NASSAU,NY,"127,389.00","108,089.00","19,300.00",0.00,0.00,0.00
QUEENS,NY,"162,056.00","121,656.00","40,400.00","99,100.00","80,500.00","18,600.00"
NEW YORK,NY,"177,286.00","112,486.00","64,800.00","141,000.00","105,000.00","36,000.00"
QUEENS,NY,"21,886,766.00","15,651,434.00","6,235,332.00","8,539,500.00","6,159,700.00","2,379,800.00"
QUEENS,NY,"393,264.00","251,814.00","141,450.00",0.00,0.00,0.00
SUFFOLK,NY,"83,969.00","79,369.00","4,600.00","61,700.00","61,500.00",200.00
RICHMOND,NY,"64,520.00",0.00,"64,520.00",0.00,0.00,0.00
ROCKLAND,NY,"445,332.00","397,194.00","48,138.00","182,300.00","151,300.00","31,000.00"
ROCKLAND,NY,"17,109.00","15,609.00","1,500.00",0.00,0.00,0.00
NASSAU,NY,"229,622.00","218,247.00","11,375.00","58,500.00","57,800.00",700.00
ULSTER,NY,"1,250.00",0.00,"1,250.00","1,300.00",0.00,"1,300.00"
WESTCHESTER,NY,"313,051.00","294,631.00","18,420.00","239,600.00","233,100.00","6,500.00"
WESTCHESTER,NY,"167,685.00","160,785.00","6,900.00","102,000.00","98,300.00","3,700.00"
WESTCHESTER,NY,"224,622.00","215,521.00","9,101.00","1,900.00",0.00,"1,900.00"
SUFFOLK,NY,"292,872.00","254,522.00","38,350.00","236,300.00","200,000.00","36,300.00"
ORANGE,NY,"62,891.00","62,891.00",0.00,"29,100.00","29,100.00",0.00
NASSAU,NY,"21,300.00",0.00,"21,300.00","14,000.00",0.00,"14,000.00"
NEW YORK,NY,"20,987.00",0.00,"20,987.00","4,100.00",0.00,"4,100.00"
NEW YORK,NY,"434,710.00","34,969.00","399,741.00","73,500.00",0.00,"73,500.00"
NEW YORK,NY,"91,566.00","86,696.00","4,870.00","82,800.00","82,300.00",500.00
NEW YORK,NY,"53,225.00",0.00,"53,225.00","5,800.00",0.00,"5,800.00"
NEW YORK,NY,"19,475.00",0.00,"19,475.00","2,500.00",0.00,"2,500.00"
NEW YORK,NY,"179,223.00","10,958.00","168,265.00","72,300.00","9,900.00","62,400.00"
NEW YORK,NY,"68,744.00","35,344.00","33,400.00","35,400.00","35,400.00",0.00
NEW YORK,NY,"1,337,161.00","302,383.00","1,034,778.00","398,100.00","24,600.00","373,500.00"
NEW YORK,NY,"62,922.00",0.00,"62,922.00","15,600.00",0.00,"15,600.00"
NEW YORK,NY,"382,980.00","139,764.00","243,216.00","75,700.00","16,400.00","59,300.00"
NEW YORK,NY,"13,537.00",0.00,"13,537.00","9,900.00",0.00,"9,900.00"
NEW YORK,NY,"743,871.00","249,041.00","494,830.00","202,200.00","70,800.00","131,400.00"
NEW YORK,NY,"1,333,738.00","346,360.00","987,378.00","658,700.00","76,800.00","581,900.00"
